sat2_d0.ElapsedDays       sat2_d0.EarthMJ2000Eq.AOP   sat3_3b.EarthMJ2000Eq.AOP   sat4_d4.EarthMJ2000Eq.AOP   sat2_d0.EarthMJ2000Eq.INC   sat3_3b.EarthMJ2000Eq.INC   sat4_d4.EarthMJ2000Eq.INC   sat2_d0.EarthMJ2000Eq.RAAN   sat3_3b.EarthMJ2000Eq.RAAN   sat4_d4.EarthMJ2000Eq.RAAN   
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
0                         6.98322128185577e-05        6.98322128185577e-05        6.98322128185577e-05        4.999999999999992           4.999999999999992           4.999999999999992           34.99999999999999            34.99999999999999            34.99999999999999            
